==== START logs for container cert-manager of pod cert-manager/cert-manager-6f469f86bd-hfbfh ====
I0714 00:25:01.207316       1 start.go:75] cert-manager "msg"="starting controller"  "git-commit"="527537d" "version"="1.7.1"
W0714 00:25:01.207442       1 client_config.go:617] Neither --kubeconfig nor --master was specified.  Using the inClusterConfig.  This might not work.
I0714 00:25:01.208205       1 controller.go:302] cert-manager/controller/build-context "msg"="configured acme dns01 nameservers" "nameservers"=["10.96.5.5:53"] 
I0714 00:25:01.208585       1 controller.go:85] cert-manager/controller "msg"="enabled controllers: [certificaterequests-approver certificaterequests-issuer-acme certificaterequests-issuer-ca certificaterequests-issuer-selfsigned certificaterequests-issuer-vault certificaterequests-issuer-venafi certificates-issuing certificates-key-manager certificates-metrics certificates-readiness certificates-request-manager certificates-revision-manager certificates-trigger challenges clusterissuers ingress-shim issuers orders]"  
I0714 00:25:01.209250       1 controller.go:149] cert-manager/controller "msg"="starting leader election"  
I0714 00:25:01.209356       1 controller.go:106] cert-manager/controller "msg"="starting metrics server"  "address"={"IP":"::","Port":9402,"Zone":""}
I0714 00:25:01.209729       1 leaderelection.go:248] attempting to acquire leader lease kube-system/cert-manager-controller...
E0714 00:25:01.294802       1 leaderelection.go:334] error initially creating leader election record: leases.coordination.k8s.io "cert-manager-controller" already exists
I0714 00:26:42.145786       1 leaderelection.go:258] successfully acquired lease kube-system/cert-manager-controller
I0714 00:26:42.146585       1 controller.go:197] cert-manager/controller "msg"="not starting controller as it's disabled" "controller"="certificatesigningrequests-issuer-ca" 
I0714 00:26:42.146617       1 controller.go:197] cert-manager/controller "msg"="not starting controller as it's disabled" "controller"="certificatesigningrequests-issuer-venafi" 
I0714 00:26:42.146962       1 controller.go:197] cert-manager/controller "msg"="not starting controller as it's disabled" "controller"="certificatesigningrequests-issuer-acme" 
I0714 00:26:42.146973       1 controller.go:220] cert-manager/controller "msg"="starting controller" "controller"="certificaterequests-issuer-selfsigned" 
I0714 00:26:42.146993       1 controller.go:220] cert-manager/controller "msg"="starting controller" "controller"="certificates-revision-manager" 
I0714 00:26:42.146958       1 controller.go:220] cert-manager/controller "msg"="starting controller" "controller"="orders" 
I0714 00:26:42.147060       1 controller.go:220] cert-manager/controller "msg"="starting controller" "controller"="certificates-metrics" 
I0714 00:26:42.147068       1 controller.go:197] cert-manager/controller "msg"="not starting controller as it's disabled" "controller"="certificatesigningrequests-issuer-selfsigned" 
I0714 00:26:42.147199       1 controller.go:220] cert-manager/controller "msg"="starting controller" "controller"="certificates-readiness" 
I0714 00:26:42.147283       1 controller.go:220] cert-manager/controller "msg"="starting controller" "controller"="clusterissuers" 
I0714 00:26:42.150901       1 controller.go:220] cert-manager/controller "msg"="starting controller" "controller"="ingress-shim" 
I0714 00:26:42.150944       1 controller.go:220] cert-manager/controller "msg"="starting controller" "controller"="certificaterequests-issuer-acme" 
I0714 00:26:42.150973       1 controller.go:220] cert-manager/controller "msg"="starting controller" "controller"="certificaterequests-approver" 
I0714 00:26:42.151075       1 controller.go:220] cert-manager/controller "msg"="starting controller" "controller"="certificates-issuing" 
I0714 00:26:42.151137       1 controller.go:220] cert-manager/controller "msg"="starting controller" "controller"="certificaterequests-issuer-ca" 
I0714 00:26:42.151154       1 controller.go:220] cert-manager/controller "msg"="starting controller" "controller"="certificaterequests-issuer-vault" 
I0714 00:26:42.151221       1 controller.go:220] cert-manager/controller "msg"="starting controller" "controller"="certificates-request-manager" 
I0714 00:26:42.151295       1 controller.go:220] cert-manager/controller "msg"="starting controller" "controller"="issuers" 
I0714 00:26:42.151318       1 controller.go:197] cert-manager/controller "msg"="not starting controller as it's disabled" "controller"="certificatesigningrequests-issuer-vault" 
I0714 00:26:42.151382       1 controller.go:220] cert-manager/controller "msg"="starting controller" "controller"="certificates-trigger" 
I0714 00:26:42.352600       1 controller.go:197] cert-manager/controller "msg"="not starting controller as it's disabled" "controller"="gateway-shim" 
I0714 00:26:42.352691       1 controller.go:220] cert-manager/controller "msg"="starting controller" "controller"="challenges" 
I0714 00:26:42.352731       1 controller.go:220] cert-manager/controller "msg"="starting controller" "controller"="certificaterequests-issuer-venafi" 
I0714 00:26:42.352994       1 controller.go:220] cert-manager/controller "msg"="starting controller" "controller"="certificates-key-manager" 
I0714 00:26:43.348228       1 conditions.go:201] Setting lastTransitionTime for Certificate "verrazzano-ca-certificate" condition "Ready" to 2022-07-14 00:26:43.34818684 +0000 UTC m=+102.176729856
I0714 00:26:43.351516       1 trigger_controller.go:181] cert-manager/certificates-trigger "msg"="Certificate must be re-issued" "key"="cert-manager/verrazzano-ca-certificate" "message"="Issuing certificate as Secret does not exist" "reason"="DoesNotExist"
I0714 00:26:43.351552       1 conditions.go:201] Setting lastTransitionTime for Certificate "verrazzano-ca-certificate" condition "Issuing" to 2022-07-14 00:26:43.351545472 +0000 UTC m=+102.180088489
E0714 00:26:43.848170       1 setup.go:48] cert-manager/clusterissuers/setup "msg"="error getting signing CA TLS certificate" "error"="secret \"verrazzano-ca-certificate-secret\" not found" "resource_kind"="ClusterIssuer" "resource_name"="verrazzano-cluster-issuer" "resource_namespace"="" "resource_version"="v1" 
I0714 00:26:43.848225       1 conditions.go:95] Setting lastTransitionTime for Issuer "verrazzano-cluster-issuer" condition "Ready" to 2022-07-14 00:26:43.848219592 +0000 UTC m=+102.676762594
